date,county,state,fips,cases,deaths,day_num,new_cases,cases_growth,new_deaths,deaths_growth
2020-03-05,King,Washington,53033.0,52,11,0,19,0.5757575757575758,0,0.0
2020-03-06,King,Washington,53033.0,59,12,1,7,0.1346153846153846,1,0.09090909090909091
2020-03-07,Westchester,New York,36119.0,69,0,0,36,1.0909090909090908,0,
2020-03-07,King,Washington,53033.0,72,16,2,13,0.22033898305084745,4,0.3333333333333333
2020-03-08,Westchester,New York,36119.0,81,0,1,12,0.17391304347826086,0,
2020-03-08,King,Washington,53033.0,91,18,3,19,0.2638888888888889,2,0.125
2020-03-09,Westchester,New York,36119.0,97,0,2,16,0.19753086419753085,0,
2020-03-09,King,Washington,53033.0,117,21,4,26,0.2857142857142857,3,0.16666666666666666
2020-03-10,Westchester,New York,36119.0,107,0,3,10,0.10309278350515463,0,
2020-03-10,King,Washington,53033.0,191,23,5,74,0.6324786324786325,2,0.09523809523809523
2020-03-10,Snohomish,Washington,53061.0,61,0,0,16,0.35555555555555557,0,
2020-03-11,Santa Clara,California,6085.0,48,1,0,3,0.06666666666666667,0,0.0
2020-03-11,Westchester,New York,36119.0,120,0,4,13,0.12149532710280374,0,
2020-03-11,King,Washington,53033.0,235,27,6,44,0.23036649214659685,4,0.17391304347826086
2020-03-11,Snohomish,Washington,53061.0,69,1,1,8,0.13114754098360656,1,
2020-03-12,Santa Clara,California,6085.0,66,1,1,18,0.375,0,0.0
2020-03-12,Middlesex,Massachusetts,25017.0,49,0,0,8,0.1951219512195122,0,
2020-03-12,Westchester,New York,36119.0,147,0,5,27,0.225,0,
2020-03-12,King,Washington,53033.0,271,28,7,36,0.15319148936170213,1,0.037037037037037035
2020-03-12,Snohomish,Washington,53061.0,107,3,2,38,0.5507246376811594,2,2.0
2020-03-13,Santa Clara,California,6085.0,79,2,2,13,0.19696969696969696,1,1.0
2020-03-13,Middlesex,Massachusetts,25017.0,60,0,1,11,0.22448979591836735,0,
2020-03-13,Nassau,New York,36059.0,51,0,0,10,0.24390243902439024,0,
2020-03-13,Westchester,New York,36119.0,157,0,6,10,0.06802721088435375,0,
2020-03-13,King,Washington,53033.0,329,33,8,58,0.2140221402214022,5,0.17857142857142858
